record_id,expected_product_class,title,target_visible,predicted_product_class,procedure_relevance,functional_step_visible,visual_evidence,uncertainty,machine_decision,model,model_revision,prompt_version,frame_paths_json,processed_at,error
espresso-004,Espresso Machine,Der perfekte Espresso aus dem Siebträger.ogv,yes,Espresso Machine,operation,yes,"Frames show an espresso machine, tamping coffee grounds, brewing espresso into cups, and drinking the espresso. These are all operations directly related to using an espresso machine.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/espresso-004/sample_01.jpg"",""data_video/review/candidate_frames/espresso-004/sample_02.jpg"",""data_video/review/candidate_frames/espresso-004/sample_03.jpg"",""data_video/review/candidate_frames/espresso-004/sample_04.jpg"",""data_video/review/candidate_frames/espresso-004/sample_05.jpg""]",2026-07-21T11:20:48.257033+00:00,
espresso-005,Espresso Machine,"Morning Espresso Routine - Progress, Results, Observations and Miscellany.webm",yes,Espresso Machine,operation,yes,"Frames show a chrome portafilter being inserted into an espresso machine, followed by the extraction of espresso into a red cup. This is a clear operational sequence of an espresso machine.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/espresso-005/sample_01.jpg"",""data_video/review/candidate_frames/espresso-005/sample_02.jpg"",""data_video/review/candidate_frames/espresso-005/sample_03.jpg"",""data_video/review/candidate_frames/espresso-005/sample_04.jpg"",""data_video/review/candidate_frames/espresso-005/sample_05.jpg""]",2026-07-21T11:21:17.825089+00:00,
espresso-006,Espresso Machine,Приготовление макиато.webm,yes,Espresso Machine,operation,yes,"A Bosch coffee machine is actively dispensing milk into a glass, with the machine's control panel and brand visible. The sequence shows the milk level rising and then coffee being added, indicating a beverage preparation process.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/espresso-006/sample_01.jpg"",""data_video/review/candidate_frames/espresso-006/sample_02.jpg"",""data_video/review/candidate_frames/espresso-006/sample_03.jpg"",""data_video/review/candidate_frames/espresso-006/sample_04.jpg"",""data_video/review/candidate_frames/espresso-006/sample_05.jpg""]",2026-07-21T11:21:49.701475+00:00,
espresso-007,Espresso Machine,Kahvin tiputtelu Moccamasterilla.webm,no,Espresso Machine,operation,yes,"A Moccamaster coffee maker is shown brewing coffee, with coffee dripping into a glass carafe. A person is seen interacting with the machine and a mug.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/espresso-007/sample_01.jpg"",""data_video/review/candidate_frames/espresso-007/sample_02.jpg"",""data_video/review/candidate_frames/espresso-007/sample_03.jpg"",""data_video/review/candidate_frames/espresso-007/sample_04.jpg"",""data_video/review/candidate_frames/espresso-007/sample_05.jpg""]",2026-07-21T11:22:18.375542+00:00,
espresso-008,Espresso Machine,"Machine à café à l'hôtel de la Cloche (Dole, Jura, France).webm",yes,Espresso Machine,operation,yes,"A white mug with a logo is positioned under the spout of a coffee machine, and liquid is visibly being dispensed into it, indicating the brewing process is underway.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/espresso-008/sample_01.jpg"",""data_video/review/candidate_frames/espresso-008/sample_02.jpg"",""data_video/review/candidate_frames/espresso-008/sample_03.jpg"",""data_video/review/candidate_frames/espresso-008/sample_04.jpg"",""data_video/review/candidate_frames/espresso-008/sample_05.jpg""]",2026-07-21T11:25:29.571327+00:00,
espresso-009,Espresso Machine,Tassimo coffee system.webm,yes,Espresso Machine,operation,yes,"A Tassimo coffee machine is actively brewing coffee into a blue mug, with liquid visibly flowing from the spout into the cup.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/espresso-009/sample_01.jpg"",""data_video/review/candidate_frames/espresso-009/sample_02.jpg"",""data_video/review/candidate_frames/espresso-009/sample_03.jpg"",""data_video/review/candidate_frames/espresso-009/sample_04.jpg"",""data_video/review/candidate_frames/espresso-009/sample_05.jpg""]",2026-07-21T11:25:57.083574+00:00,
espresso-010,Espresso Machine,The bean that could save coffee from climate change.webm,yes,Espresso Machine,operation,yes,"A person is operating an espresso machine, pouring water into a portafilter, which is a key step in the espresso extraction process.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/espresso-010/sample_01.jpg"",""data_video/review/candidate_frames/espresso-010/sample_02.jpg"",""data_video/review/candidate_frames/espresso-010/sample_03.jpg"",""data_video/review/candidate_frames/espresso-010/sample_04.jpg"",""data_video/review/candidate_frames/espresso-010/sample_05.jpg""]",2026-07-21T11:26:24.620817+00:00,
espresso-011,Espresso Machine,I Am CDC - Amanda MacGurn.webm,no,uncertain,irrelevant,no,"Frames show health screening stations, posters about Ebola, and people in medical attire. No espresso machine or related equipment is visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/espresso-011/sample_01.jpg"",""data_video/review/candidate_frames/espresso-011/sample_02.jpg"",""data_video/review/candidate_frames/espresso-011/sample_03.jpg"",""data_video/review/candidate_frames/espresso-011/sample_04.jpg"",""data_video/review/candidate_frames/espresso-011/sample_05.jpg""]",2026-07-21T11:26:51.457265+00:00,
espresso-012,Espresso Machine,Know Your Crew...Four!.webm,no,uncertain,irrelevant,no,"Frames show astronauts in space suits seated around a table, holding cards with questions. No household product is visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/espresso-012/sample_01.jpg"",""data_video/review/candidate_frames/espresso-012/sample_02.jpg"",""data_video/review/candidate_frames/espresso-012/sample_03.jpg"",""data_video/review/candidate_frames/espresso-012/sample_04.jpg"",""data_video/review/candidate_frames/espresso-012/sample_05.jpg""]",2026-07-21T11:27:17.400310+00:00,
espresso-013,Espresso Machine,Latte art flower - 01.ogv,no,uncertain,irrelevant,no,"Frames show a person pouring milk into a cup of coffee to create latte art, but no espresso machine or its components are visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/espresso-013/sample_01.jpg"",""data_video/review/candidate_frames/espresso-013/sample_02.jpg"",""data_video/review/candidate_frames/espresso-013/sample_03.jpg"",""data_video/review/candidate_frames/espresso-013/sample_04.jpg"",""data_video/review/candidate_frames/espresso-013/sample_05.jpg""]",2026-07-21T11:27:44.915738+00:00,
